wkt,id,line,buildstart,opening,closure,length
"LINESTRING (-58.3709894422368 -34.6087883155411,-58.3720304597551 -34.6088189282112,-58.3727372683532 -34.6087172761771,-58.373476318285 -34.6086107169678,-58.3741841361359 -34.6085617617205,-58.3777088907219 -34.6087988327883,-58.3806294585023 -34.6090111318935,-58.3825865360265 -34.6091176905653,-58.3868007951603 -34.6094175819557,-58.387404981966 -34.6094365471521,-58.3877725094404 -34.6093909526155,-58.3880647574715 -34.6093071129029,-58.3885392604242 -34.6091902746559,-58.3890094423061 -34.6091499804745,-58.3905778113195 -34.6091517976004,-58.3925405698141 -34.6092944694256,-58.3972168013084 -34.6095572484986,-58.4014585414476 -34.6098706003339,-58.4055737423366 -34.6101469321465,-58.4058781833662 -34.6101326935561,-58.4061394768187 -34.6100157116952,-58.4063847162031 -34.6098787372928,-58.4066191225472 -34.609786884086,-58.4068223427973 -34.6097596782535)",1,A,1911,1913,,3311.00
"LINESTRING (-58.4068223427973 -34.6097596782535,-58.4079484274695 -34.6098632599081,-58.4083270987183 -34.6099599786762,-58.4086178107657 -34.6100659643678,-58.409294256125 -34.6103316677525,-58.4154996684299 -34.6108217922596,-58.4196426636689 -34.6111769795893,-58.4210367212703 -34.6114503803412,-58.4295003210624 -34.6152056125023,-58.4364285264005 -34.6182799703349,-58.4411776213051 -34.6204052158028)",2,A,1911,1914,,3420.63
"LINESTRING (-58.441177621305 -34.6204052158028,-58.4486004741431 -34.6235010386244,-58.455499851096 -34.626176604862,-58.456195965415 -34.6264841092163)",3,A,2004,2008,,1533.68
"LINESTRING (-58.456195965415 -34.6264841092164,-58.4590874308423 -34.6276915120621,-58.4623241458729 -34.6287923640494,-58.4634893632839 -34.6290764525138,-58.4704568352055 -34.6309330738418)",4,A,2004,2013,,1400.68
"LINESTRING (-58.4551967550169 -34.5871909624797,-58.4515989143461 -34.5884737161525,-58.4512298454292 -34.588614426869,-58.4509882254007 -34.5887112217294,-58.4507820416011 -34.5888115424002,-58.4505967669614 -34.5889197471786,-58.4503684930194 -34.5890991416563,-58.4474784129261 -34.5917726462978,-58.4397102968547 -34.5990198293244,-58.4390446936248 -34.5996581654977,-58.4389219929112 -34.5997582688945,-58.4387871907727 -34.5998487436275,-58.4386415760857 -34.5999164894176,-58.4383832566366 -34.6000013102439,-58.4348731579633 -34.601179522675,-58.432114805584 -34.6020748248651,-58.4207215686773 -34.6032115387039,-58.4166217296389 -34.6036378023822,-58.4151112626248 -34.6039574987054,-58.4132555460074 -34.6041351072418,-58.4113566731896 -34.6040995855644,-58.409803049975 -34.6040285421646,-58.4085083639629 -34.6041706289026,-58.4054442737342 -34.6045968876581,-58.4035885571168 -34.604774494827,-58.3995318742788 -34.6046679305703,-58.3927812590882 -34.6044640386578)",5,B,1928,1930,,6381.55
"LINESTRING (-58.3927812590882 -34.6044640386578,-58.3872961309877 -34.6040935558117,-58.3811904891064 -34.6036733242499,-58.3746739028451 -34.6033536268312,-58.3710483894804 -34.6031415076489,-58.3703797292436 -34.6030485376704,-58.3693980573455 -34.6029717644135)",6,B,1928,1931,,2151.61
"LINESTRING (-58.3810801222602 -34.627798292595,-58.3811023225313 -34.6271841470466,-58.3808830791923 -34.6266229776181,-58.3804901117264 -34.6257203770461,-58.380467903575 -34.6255626573614,-58.3803336787467 -34.6248735398389,-58.3801849256472 -34.6237250177506,-58.3799087336616 -34.6221665893847,-58.3801938555484 -34.6177794021015,-58.3803784785707 -34.6137956206008,-58.3805069525126 -34.6114514300808,-58.3806004841897 -34.6089864545644,-58.3807227335137 -34.6068694120554,-58.3808371536087 -34.6055080546429,-58.3808040726205 -34.6051735220458,-58.3806421824184 -34.6049557729186,-58.3804146721581 -34.6048694913894,-58.3798905725479 -34.6048616087473,-58.3795264244317 -34.6048562864587)",7,C,1933,1934,,2657.99
"LINESTRING (-58.3795264244317 -34.6048562864587,-58.3789463666855 -34.6047389734188,-58.3785148046814 -34.6045258446789,-58.3782869900554 -34.6042896306301,-58.3782127112785 -34.6040285421586,-58.3781263988776 -34.6034957147249,-58.3781273935362 -34.6027497505743,-58.3784554229949 -34.5964342464053)",8,C,1933,1936,,1007.79
"LINESTRING (-58.4551967550169 -34.5871909624797,-58.4584162356489 -34.586102454192,-58.4594521991688 -34.5857501550744,-58.4596741719009 -34.5856848513573,-58.4599162292182 -34.5856424615364,-58.460131595149 -34.5856288617786,-58.4603729068457 -34.5856428449512,-58.4606924162168 -34.5856868711994,-58.4610933880264 -34.5857404208587,-58.4612702139917 -34.5857442478866,-58.4614247015598 -34.5857337232614,-58.4615654268613 -34.5857154408078,-58.4617075253032 -34.5856762902075,-58.4634683619713 -34.5850655762368,-58.4664671411027 -34.5840629390327,-58.4720989674234 -34.5822607196248,-58.4735627933898 -34.5818107147068,-58.4738529780765 -34.5816857000905,-58.4740695641713 -34.5815513843136,-58.4742352571751 -34.581398127325)",9,B,1999,2003,,1879.37
"LINESTRING (-58.4742352571751 -34.581398127325,-58.4752926855848 -34.5801256976862,-58.4754243071301 -34.5800203463822,-58.4756037777237 -34.5799302951273,-58.4758104584895 -34.5798702634081,-58.4785724553153 -34.5792662164389,-58.4788924479968 -34.5791730691947,-58.4791550640208 -34.5790352561434,-58.4795218917241 -34.578804295206,-58.4827586067541 -34.576601250934,-58.4844201204694 -34.5755885416402,-58.4863033662649 -34.5743997214566,-58.4864094201245 -34.5743253425183,-58.4866449277335 -34.5741396524024)",10,B,2005,2013,,1425.52
"LINESTRING (-58.373889012778 -34.60789548645,-58.3793481403862 -34.6049021494756,-58.3805743413541 -34.6042452061536,-58.3827009561205 -34.6031404945374,-58.3838445954311 -34.6025721390758,-58.3842441591132 -34.6023159943908,-58.3847863558394 -34.6018157063995)",11,D,1936,1937,,1208.51
"LINESTRING (-58.3847863558395 -34.6018157063995,-58.3852357723927 -34.6014085487829,-58.3854720985467 -34.6012602133757,-58.3857379397036 -34.601112937444,-58.3895843700844 -34.5996947798612,-58.389884464158 -34.5995952738667,-58.3901466700417 -34.5995515909248,-58.3904963862114 -34.5995434899348,-58.393490006221 -34.5996592562857,-58.3973093299569 -34.5997658269695,-58.3977840481614 -34.5997658269696,-58.3989708436725 -34.599730303424,-58.3995966085784 -34.5996237326954,-58.4001576391836 -34.5993573052756,-58.4005028887868 -34.5989132576765,-58.4006107792876 -34.5982738249632,-58.4006107792874 -34.5974212403546,-58.4006539354876 -34.596337734787,-58.4008049821889 -34.5956449943126,-58.4012365441928 -34.5949700108578,-58.4012365441928 -34.5949700108578,-58.4020565120004 -34.5945437026922,-58.4026391207058 -34.5943838365661,-58.4038259162169 -34.5940463404007,-58.4051421803291 -34.593353580818,-58.4072568341486 -34.5915417207509,-58.4092204412667 -34.5897298211693,-58.4100835652746 -34.5890192615277,-58.4115940322886 -34.5880067035392,-58.4158880742283 -34.5851643695716,-58.4211962868774 -34.5814691900692)",12,D,1936,1938,,4377.99
"LINESTRING (-58.4211962868774 -34.5814691900692,-58.4233972530977 -34.5799413274588,-58.4256845317189 -34.5784667357481)",13,D,1936,1940,,529.73
"LINESTRING (-58.4256845317189 -34.5784667357481,-58.4266339681277 -34.5780758757281,-58.4303022451619 -34.5769743512381,-58.4328484609856 -34.5761215480598,-58.434647012177 -34.575347228336,-58.4350135308139 -34.5751783669187)",14,D,1976,1987,,931.99
"LINESTRING (-58.452182438765 -34.5662070691223,-58.4533260780757 -34.5656384610109,-58.454232358284 -34.5649276954043,-58.4563901683037 -34.5623866586835)",17,D,1994,1999,,581.54
"LINESTRING (-58.4563901683037 -34.5623866586835,-58.4593247899306 -34.559028106423,-58.462216255357 -34.5557938168177)",18,D,1994,2000,,905.98
"LINESTRING (-58.38118053003 -34.627803990637,-58.3811819562797 -34.6271841470466,-58.3809488635931 -34.62660873231,-58.3805385844428 -34.6256605460815,-58.3807157709063 -34.6250014654978,-58.3808883957078 -34.6245575550438,-58.3815357387137 -34.623651970354,-58.3819457226175 -34.6231902959245,-58.3826793780242 -34.6227286189264,-58.3836935487337 -34.6224622656439,-58.3843840479402 -34.6222846963139,-58.3852255938481 -34.6222669393602)",19,E,1938,1944,1966,880.29
